Sample,Solvent,Final [ ],GC-O no of beads used,GC-O incubation and extraction temperature,GC-O incubation time,GC-O extraction time,GC-O result,"GC-O contaminant, if identified",Impact on GNN performance,Disqualification reason,Selection reason,Sulfur,Amine,Phenyl,Nitrile,Ester,Carbonyl,Carboxylic.Acid,Alkyl.4.carbon.chain,8.atoms.or.fewer,13.atoms.or.more
0,PG,0.3,2.0,30.0,10.0,2.0,clean,,neutral,,gnn|not waxy|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
1,PG,0.1,10.0,45.0,10.0,10.0,mixed,CC1=C(SC=N1)CCO,bad,,rf|berry|prediction threshold=0.060,False,False,False,False,False,False,False,False,False,False
2,neat,1.0,,,,,,,,,gnn|sour|prediction threshold=0.400,False,True,False,False,False,False,True,False,False,True
3,PG,0.01,,,,,,,,,gnn|grassy|prediction threshold=0.157,False,False,True,True,False,False,False,False,False,False
4,PG,0.1,,,,,,,,,gnn|camphoreous|prediction threshold=0.259,False,False,False,False,False,True,False,False,True,False
5,PG,0.3,,,,,,,,,gnn|not rummy|prediction threshold=0.400,False,False,False,False,True,False,False,False,False,True
6,,1.0,,,,,,,,,rf|musk|prediction threshold=0.046,False,True,False,False,False,False,False,True,False,False
7,,1.0,,,,,,,,,rf|waxy|prediction threshold=0.054,False,True,False,False,False,False,False,False,False,False
8,PG,0.3,,,,,,,,,rf|not winey|prediction threshold=0.146,False,True,False,False,False,False,False,False,False,True
9,neat,1.0,,,,,,,,,gnn|not green|prediction threshold=0.400,False,True,True,False,True,False,False,False,False,True
10,PG,0.7,,,,,,,,,gnn|not tropical|prediction threshold=0.400,False,False,False,True,True,False,False,False,False,False
11,PG,0.1,,,,,,,,,gnn|floral|prediction threshold=0.513,False,False,False,False,False,False,False,False,False,True
12,PG,0.1,10.0,55.0,10.0,10.0,contaminated,CC(=O)C(=O)C,good,Confirmed diacetyl impurity,rf|meaty|prediction threshold=0.182,False,True,False,False,False,False,False,False,True,False
13,PG,0.15,,,,,,,,Suspected PH3 impurity,rf|cucumber|prediction threshold=0.010,False,False,False,False,False,False,False,False,True,False
14,PG,0.1,,,,,,,,,gnn|caramellic|prediction threshold=0.613,False,False,False,False,True,False,False,False,False,False
15,MO,0.1,,,,,,,,,gnn|woody|prediction threshold=0.324,False,False,True,False,False,False,False,False,False,False
16,PG,0.05,,,,,,,,,rf|not cucumber|prediction threshold=0.010,False,False,False,False,True,False,False,False,False,False
17,neat,1.0,,,,,,,,Low intensity,gnn|woody|prediction threshold=0.400,False,False,False,False,False,True,False,False,False,False
18,PG,0.1,,,,,,,,,gnn|fruity|prediction threshold=0.318,False,False,False,False,False,False,False,True,False,False
19,PG,0.1,,,,,,,,,rf|musk|prediction threshold=0.046,False,True,False,False,False,False,False,True,False,False
20,,1.0,,,,,,,,,rf|earthy|prediction threshold=0.154,False,False,False,False,False,False,False,False,False,False
21,PG,0.3,,,,,,,,,gnn|not fatty|prediction threshold=0.400,False,False,True,False,True,False,False,False,False,False
22,PG,0.1,,,,,,,,,gnn|grassy|prediction threshold=0.157,False,False,False,False,False,False,True,False,False,False
23,neat,1.0,,,,,,,,,rf|nutty|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
24,PG,0.01,,,,,,,,,gnn|not meaty|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
25,PG,0.1,,,,,,,,,rf|floral|prediction threshold=0.259,False,False,True,False,False,False,False,False,False,False
26,,1.0,,,,,,,,Suspected dimethylamine impurity,rf|not fatty|prediction threshold=0.660,False,True,False,False,False,False,False,True,False,True
27,PG,0.01,,,,,,,,,rf|cheesy|prediction threshold=0.086,False,True,False,False,False,True,False,False,False,False
28,,1.0,,,,,,,,,rf|fatty|prediction threshold=0.096,False,True,False,False,False,False,False,True,False,True
29,PG,0.1,,,,,,,,,gnn|fruity|prediction threshold=0.318,False,False,True,False,False,True,False,False,False,False
30,,1.0,,,,,,,,,rf|not sharp|prediction threshold=0.060,False,False,False,False,True,False,False,False,False,True
31,PG,0.1,,,,,,,,Suspected PH3 impurity,gnn|cucumber|prediction threshold=0.043,False,False,False,False,False,False,False,False,True,False
32,,1.0,,,,,,,,,rf|fatty|prediction threshold=0.096,False,False,False,False,False,False,False,False,False,False
33,neat,1.0,10.0,55.0,10.0,10.0,mixed,CNC,good,Confirmed dimethylamine impurity,gnn|not honey|prediction threshold=0.400,False,True,False,False,False,False,False,True,False,False
34,ddH2O,0.3,,,,,,,,,gnn|animal|prediction threshold=0.400,False,True,False,False,False,False,False,True,False,True
35,PG,0.1,,,,,,,,,gnn|floral|prediction threshold=0.400,False,False,True,False,False,False,False,True,False,False
36,neat,1.0,,,,,,,,,gnn|hay|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
37,PG,0.1,,,,,,,,,gnn|woody|prediction threshold=0.324,False,False,False,False,True,False,False,False,False,True
38,neat,1.0,,,,,,,,Low intensity,gnn|not vanilla|prediction threshold=0.400,False,False,False,True,True,False,False,False,False,False
39,,1.0,,,,,,,,,rf|hay|prediction threshold=0.088,False,False,True,True,False,True,False,False,False,False
40,PG,0.01,,,,,,,,,gnn|citrus|prediction threshold=0.400,False,False,False,False,False,False,False,False,False,False
41,,1.0,,,,,,,,,rf|citrus|prediction threshold=0.072,False,True,False,False,False,False,False,True,False,False
42,PG,0.1,,,,,,,,,gnn|vanilla|prediction threshold=0.361,False,False,False,False,False,False,False,False,False,False
43,,1.0,,,,,,,,,rf|not rummy|prediction threshold=0.076,False,False,False,True,True,False,False,False,False,False
44,PG,0.1,10.0,55.0,10.0,10.0,contaminated,,unknown,,gnn|green|prediction threshold=0.297,False,False,False,False,False,False,False,False,True,False
45,PG,0.006,10.0,55.0,10.0,10.0,contaminated,CN(C)C=O,unknown,Confirmed DMF impurity,rf|winey|prediction threshold=0.146,False,True,False,False,False,False,False,False,False,False
46,neat,1.0,,,,,,,,Low intensity,gnn|cucumber|prediction threshold=0.400,False,False,False,True,False,False,False,False,True,False
47,PG,0.01,,,,,,,,,gnn|smoky|prediction threshold=0.419,False,False,False,False,False,False,False,False,True,False
48,,1.0,,,,,,,,Low intensity,rf|fruity|prediction threshold=0.390,False,False,False,False,True,False,False,False,False,False
49,,1.0,10.0,45.0,10.0,10.0,mixed,CCCC(=O)C1CCCCC1,neutral,,rf|peach|prediction threshold=0.020,False,False,False,False,False,False,False,True,False,False
50,,1.0,,,,,,,,,gnn|tomato|prediction threshold=0.166,False,True,False,False,False,False,False,False,False,False
51,,1.0,,,,,,,,Low intensity,rf|lemon|prediction threshold=0.028,False,False,False,False,False,False,False,False,False,False
52,PG,0.1,,,,,,,,,gnn|roasted|prediction threshold=0.641,False,False,False,False,False,True,False,False,True,False
53,,1.0,,,,,,,,,gnn|roasted|prediction threshold=0.641,False,True,False,False,False,False,False,True,False,False
54,,1.0,,,,,,,,Low intensity,gnn|winey|prediction threshold=0.469,False,False,False,False,True,True,False,False,False,True
55,PG,0.0015,,,,,,,,,gnn|sharp|prediction threshold=0.227,False,False,False,False,False,False,False,False,False,False
56,,1.0,15.0,45.0,10.0,10.0,mixed,,neutral,,rf|pine|prediction threshold=0.038,False,False,False,False,False,False,False,True,False,False
57,,1.0,,,,,,,,,rf|sweet|prediction threshold=0.350,False,False,True,False,False,True,False,False,False,False
58,PG,0.1,10.0,45.0,10.0,10.0,clean,,neutral,,gnn|herbal|prediction threshold=0.400,False,False,False,False,False,True,False,False,False,False
59,,1.0,,,,,,,,,gnn|pine|prediction threshold=0.171,False,False,False,False,True,False,False,False,False,False
60,,1.0,10.0,55.0,10.0,10.0,clean,,neutral,,gnn|smoky|prediction threshold=0.206,False,False,True,False,False,False,False,False,False,False
61,PG,0.1,,,,,,,,,gnn|earthy|prediction threshold=0.430,False,False,True,False,False,False,False,False,False,False
62,PG,0.01,,,,,,,,,gnn|garlic|prediction threshold=0.067,True,False,False,False,False,False,False,False,True,False
63,PG,0.1,,,,,,,,,gnn|honey|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
64,,1.0,,,,,,,,,rf|coconut|prediction threshold=0.032,False,False,True,False,False,True,False,False,False,False
65,PG,0.1,,,,,,,,,rf|caramellic|prediction threshold=0.164,False,True,False,False,False,True,False,False,False,False
66,PG,0.5,,,,,,,,,rf|not fermented|prediction threshold=0.104,False,False,False,False,True,False,False,True,False,True
67,,1.0,,,,,,,,,gnn|meaty|prediction threshold=0.512,False,False,False,False,False,False,False,False,True,False
68,,1.0,,,,,,,,,rf|grassy|prediction threshold=0.034,False,False,False,True,False,False,False,False,True,False
69,PG,0.1,,,,,,,,Low intensity,gnn|fatty|prediction threshold=0.174,True,True,True,False,False,False,False,False,True,False
70,,1.0,,,,,,,,,rf|caramellic|prediction threshold=0.170,False,True,False,False,False,True,False,False,False,False
71,PG,0.1,,,,,,,,,gnn|caramellic|prediction threshold=0.613,False,False,False,False,False,True,False,False,False,False
72,PG,0.1,10.0,55.0,10.0,10.0,mixed,,unknown,,gnn|sweet|prediction threshold=0.378,False,False,False,False,False,False,False,True,False,False
73,PG,0.1,,,,,,,,,gnn|cheesy|prediction threshold=0.216,False,True,False,False,False,False,False,False,False,False
74,,1.0,,,,,,,,,gnn|coffee|prediction threshold=0.362,False,False,False,False,False,False,False,True,False,False
75,,1.0,,,,,,,,,rf|not cooling|prediction threshold=0.026,False,False,True,False,False,False,False,False,False,True
76,PG,0.1,,,,,,,,,gnn|dairy|prediction threshold=0.194,False,False,False,False,False,False,False,False,False,False
77,PG,0.1,,,,,,,,,gnn|citrus|prediction threshold=0.162,False,False,False,False,False,False,False,False,True,False
78,PG,0.001,,,,,,,,,gnn|garlic|prediction threshold=0.400,True,False,False,False,False,False,False,False,False,False
79,,1.0,,,,,,,,,gnn|coffee|prediction threshold=0.621,False,False,False,False,False,False,False,False,False,False
80,,1.0,,,,,,,,,gnn|pine|prediction threshold=0.171,False,False,False,False,False,False,True,True,False,False
81,neat,1.0,10.0,55.0,10.0,10.0,inconclusive,,unknown,,gnn|sharp|prediction threshold=0.400,False,False,False,False,False,False,True,False,True,False
82,PG,0.1,10.0,45.0,20.0,10.0,mixed,CCCC(=O)O,neutral,,rf|not fishy|prediction threshold=0.094,False,False,False,False,True,False,False,False,False,True
83,neat,1.0,,,,,,,,Low intensity,gnn|animal|prediction threshold=0.400,False,True,True,False,False,False,False,False,False,False
84,PG,0.01,,,,,,,,,rf|garlic|prediction threshold=0.086,False,False,False,False,False,False,False,True,True,False
85,ddH2O,0.25,,,,,,,,,gnn|musty|prediction threshold=0.390,False,True,False,False,False,True,False,False,False,False
86,PG,0.01,,,,,,,,,gnn|tropical|prediction threshold=0.319,True,False,True,False,False,False,False,False,False,False
87,,1.0,,,,,,,,,gnn|musk|prediction threshold=0.206,False,False,False,False,False,False,False,False,False,True
88,H2O,0.1,,,,,,,,,rf|nutty|prediction threshold=0.298,False,False,False,False,False,False,False,False,True,False
89,neat,1.0,,,,,,,,,rf|green|prediction threshold=0.400,False,False,False,False,False,False,False,True,False,False
90,PG,0.01,,,,,,,,,rf|ozone|prediction threshold=0.014,False,False,False,False,False,False,False,False,False,False
91,,1.0,,,,,,,,,gnn|ozone|prediction threshold=0.126,False,False,True,False,False,True,False,False,False,True
92,PG,0.02,,,,,,,,,gnn|apple|prediction threshold=0.400,False,False,False,False,True,False,False,False,False,False
93,neat,1.0,,,,,,,,,gnn|coffee|prediction threshold=0.400,False,False,False,False,False,False,False,False,False,False
94,PG,0.015,,,,,,,,,rf|lemon|prediction threshold=0.016,False,False,False,False,False,False,False,True,True,False
95,,1.0,,,,,,,,,gnn|metallic|prediction threshold=0.206,False,True,True,False,False,False,False,False,False,False
96,PG,0.25,,,,,,,,,gnn|buttery|prediction threshold=0.262,False,False,False,False,False,False,True,False,True,False
97,neat,1.0,,,,,,,,Low intensity,gnn|rose|prediction threshold=0.400,False,False,False,False,False,False,False,False,False,False
98,,1.0,,,,,,,,,gnn|green|prediction threshold=0.297,False,False,True,False,False,False,False,False,False,False
99,neat,1.0,,,,,,,,,gnn|grassy|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
100,,1.0,,,,,,,,Low intensity,rf|roasted|prediction threshold=0.201,True,False,False,False,False,False,False,False,True,False
101,,1.0,10.0,45.0,10.0,10.0,clean,,neutral,,rf|not ozone|prediction threshold=0.012,False,True,True,False,False,False,False,False,False,False
102,,1.0,10.0,45.0,10.0,10.0,inconclusive,,unknown,,rf|buttery|prediction threshold=0.072,False,False,False,False,False,False,False,False,False,False
103,PG,0.1,,,,,,,,,gnn|woody|prediction threshold=0.324,False,False,True,False,False,True,False,False,False,True
104,PG,0.1,,,,,,,,,gnn|smoky|prediction threshold=0.400,False,False,True,False,False,False,False,True,False,False
105,PG,0.01,,,,,,,,,rf|nutty|prediction threshold=0.248,False,False,False,False,False,False,False,False,False,False
106,,1.0,,,,,,,,,rf|coffee|prediction threshold=0.166,False,False,True,False,False,False,False,False,False,False
107,,1.0,,,,,,,,,rf|earthy|prediction threshold=0.209,False,False,False,True,False,False,False,False,True,False
108,PG,0.01,,,,,,,,,gnn|mint|prediction threshold=0.330,False,False,True,False,False,False,False,False,False,False
109,PG,0.1,,,,,,,,,gnn|cheesy|prediction threshold=0.216,False,True,False,False,False,False,False,False,True,False
110,,1.0,,,,,,,,,gnn|berry|prediction threshold=0.296,False,False,False,False,False,False,False,False,False,False
111,PG,0.1,,,,,,,,,gnn|not metallic|prediction threshold=0.400,False,False,False,False,False,False,False,False,False,False
112,PG,0.01,,,,,,,,,gnn|not musty|prediction threshold=0.400,False,True,True,False,True,False,False,False,False,True
113,,1.0,,,,,,,,,rf|not fruity|prediction threshold=0.920,False,False,False,False,False,False,False,False,False,False
114,PG,0.005,,,,,,,,,rf|hay|prediction threshold=0.088,False,False,True,False,False,False,False,False,False,False
115,PG,0.1,,,,,,,,,gnn|cucumber|prediction threshold=0.052,False,False,False,False,False,False,False,False,False,False
116,PG,0.1,,,,,,,,,gnn|cheesy|prediction threshold=0.216,False,True,False,True,False,False,False,False,True,False
117,PG,0.1,,,,,,,,,gnn|fatty|prediction threshold=0.174,False,True,False,True,False,False,False,False,True,False
118,,1.0,,,,,,,,,rf|ozone|prediction threshold=0.014,False,False,True,False,False,False,False,False,False,False
119,PG,0.1,5.0,45.0,10.0,10.0,contaminated,CSSSC,good,Confirmed sulfurous impurity,rf|not garlic|prediction threshold=0.078,False,False,False,False,True,True,False,False,False,True
120,PG,0.1,,,,,,,,,rf|orange|prediction threshold=0.060,False,False,True,True,False,False,False,False,False,False
121,PG,0.01,,,,,,,,,gnn|ozone|prediction threshold=0.400,False,False,False,True,False,False,False,False,False,False
122,PG,0.1,,,,,,,,,rf|waxy|prediction threshold=0.054,False,True,False,False,True,False,False,True,False,True
123,,1.0,,,,,,,,Low intensity,gnn|cooling|prediction threshold=0.219,False,True,False,False,False,False,False,False,False,False
124,PG,0.001,10.0,55.0,10.0,10.0,mixed,,neutral,,rf|meaty|prediction threshold=0.182,True,False,False,False,False,False,False,False,True,False
125,neat,1.0,,,,,,,,Low intensity,gnn|not citrus|prediction threshold=0.400,False,False,True,False,False,False,False,True,False,True
126,PG,0.1,,,,,,,,,rf|fatty|prediction threshold=0.096,False,False,False,False,False,False,False,False,True,False
127,PG,0.1,,,,,,,,,rf|coffee|prediction threshold=0.166,False,False,False,False,False,False,False,False,True,False
128,PG,0.25,,,,,,,,,rf|powdery|prediction threshold=0.104,False,True,True,False,False,False,False,False,False,False
129,PG,0.1,,,,,,,,,rf|ozone|prediction threshold=0.014,False,True,False,False,True,False,False,False,False,False
130,PG,0.015,,,,,,,,,gnn|pine|prediction threshold=0.187,False,False,False,False,False,True,False,False,False,False
131,PG,0.1,10.0,55.0,10.0,10.0,inconclusive,,unknown,,rf|cooling|prediction threshold=0.038,False,True,False,False,False,False,False,False,False,False
132,PG,0.001,,,,,,,,,gnn|earthy|prediction threshold=0.430,False,False,False,False,False,False,False,False,True,False
133,PG,0.01,10.0,45.0,10.0,10.0,mixed,C1=CSC(=C1)C=O,neutral,Confirmed garlic impurity,gnn|tropical|prediction threshold=0.319,False,False,False,False,True,True,False,False,False,False
134,PG,0.4,10.0,45.0,10.0,10.0,mixed,C1CCC2(CC1)OCCO2,bad,,gnn|grassy|prediction threshold=0.400,False,False,False,False,False,False,False,True,False,False
135,PG,0.25,,,,,,,,,rf|not pine|prediction threshold=0.030,False,False,True,False,False,True,False,True,False,True
136,PG,0.01,,,,,,,,,gnn|medicinal|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
137,neat,1.0,,,,,,,,,gnn|coconut|prediction threshold=0.400,False,False,False,False,True,False,False,False,False,False
138,PG,0.3,,,,,,,,Low intensity,gnn|fatty|prediction threshold=0.400,False,True,False,False,False,False,False,True,False,True
139,PG,0.07,,,,,,,,,gnn|peach|prediction threshold=0.183,False,False,False,False,False,True,False,True,False,True
140,,1.0,,,,,,,,,gnn|dairy|prediction threshold=0.194,False,False,False,False,False,False,True,True,False,False
141,,1.0,,,,,,,,,gnn|citrus|prediction threshold=0.162,False,False,False,False,False,False,False,False,False,True
142,PG,0.1,,,,,,,,,gnn|buttery|prediction threshold=0.223,False,False,False,False,True,False,False,False,False,False
143,PG,0.1,8.0,45.0,10.0,10.0,clean,,neutral,,rf|not mint|prediction threshold=0.136,False,False,False,False,False,False,False,False,True,False
144,PG,0.01,,,,,,,,,rf|not jasmin|prediction threshold=0.036,False,False,False,False,True,False,False,True,False,False
145,,1.0,,,,,,,,,rf|winey|prediction threshold=0.146,False,False,False,True,False,False,False,False,False,False
146,PG,0.001,,,,,,,,,rf|not woody|prediction threshold=0.687,True,False,True,False,False,False,False,False,False,False
147,PG,0.01,,,,,,,,,rf|dairy|prediction threshold=0.042,True,False,False,True,False,False,False,False,True,False
148,,1.0,,,,,,,,,rf|ozone|prediction threshold=0.012,False,False,True,False,False,False,False,False,False,False
149,PG,0.3,,,,,,,,,gnn|not medicinal|prediction threshold=0.400,False,False,True,False,False,True,False,False,False,True
150,PG,0.1,,,,,,,,,rf|not green|prediction threshold=0.850,False,False,False,False,False,False,True,False,False,False
151,PG,0.1,,,,,,,,,gnn|honey|prediction threshold=0.400,False,False,True,False,False,False,True,False,False,False
152,PG,0.1,10.0,45.0,10.0,10.0,mixed,CNC,good,Confirmed dimethylamine impurity,gnn|not sulfurous|prediction threshold=0.400,False,True,False,False,True,False,False,False,False,False
153,,1.0,,,,,,,,,rf|vanilla|prediction threshold=0.082,False,True,True,False,False,False,False,False,False,False
154,,1.0,,,,,,,,,gnn|meaty|prediction threshold=0.512,True,True,False,True,False,False,False,False,True,False
155,,1.0,,,,,,,,,rf|woody|prediction threshold=0.192,False,False,False,False,False,False,False,False,False,False
156,,1.0,,,,,,,,,rf|not citrus|prediction threshold=0.212,False,False,True,False,True,False,False,False,False,True
157,PG,0.1,,,,,,,,,gnn|hay|prediction threshold=0.513,False,False,True,False,False,True,False,False,False,False
158,PG,0.1,,,,,,,,,rf|citrus|prediction threshold=0.072,False,True,False,False,False,False,False,True,False,False
159,PG,0.1,,,,,,,,,gnn|tropical|prediction threshold=0.319,False,False,False,True,True,False,False,False,False,False
160,,1.0,,,,,,,,,rf|buttery|prediction threshold=0.062,False,False,True,False,True,False,False,False,False,True
161,PG,0.01,,,,,,,,,rf|herbal|prediction threshold=0.117,False,False,False,False,False,True,False,False,False,False
162,PG,0.05,10.0,45.0,10.0,10.0,mixed,CC1COC2(O1)CCCCC2,neutral,,rf|not waxy|prediction threshold=0.625,False,False,False,False,True,False,False,True,False,False
163,PG,0.1,,,,,,,,,gnn|green|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
164,neat,1.0,,,,,,,,Low intensity,gnn|earthy|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
165,,1.0,,,,,,,,,gnn|nutty|prediction threshold=0.644,False,False,False,True,False,False,False,False,False,False
166,neat,1.0,,,,,,,,Low intensity,gnn|tomato|prediction threshold=0.400,False,True,False,False,False,False,False,False,True,False
167,,1.0,,,,,,,,,rf|berry|prediction threshold=0.060,False,True,False,False,False,False,False,True,False,True
168,neat,1.0,,,,,,,,Low intensity,gnn|citrus|prediction threshold=0.400,False,True,False,True,False,False,False,False,False,True
169,PG,0.01,,,,,,,,,rf|not sour|prediction threshold=0.046,False,False,False,False,False,True,False,False,False,False
170,PG,0.01,,,,,,,,Suspected morpholine impurity,rf|cheesy|prediction threshold=0.086,False,True,False,False,False,False,False,False,False,False
171,PG,0.2,,,,,,,,,gnn|smoky|prediction threshold=0.419,False,True,True,False,False,False,False,False,False,False
172,,1.0,,,,,,,,,rf|musty|prediction threshold=0.118,False,True,False,False,False,False,False,False,False,False
173,,1.0,,,,,,,,,gnn|musk|prediction threshold=0.099,False,False,False,False,False,True,False,False,False,True
174,PG,0.2,,,,,,,,,gnn|tomato|prediction threshold=0.131,False,True,False,True,False,False,False,False,True,False
175,PG,0.3,,,,,,,,,gnn|not winey|prediction threshold=0.400,False,True,False,False,False,False,False,False,True,False
176,neat,1.0,,,,,,,,,gnn|nutty|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
177,,1.0,10.0,45.0,10.0,10.0,mixed,CC(=O)O,neutral,Confirmed acetic acid impurity,gnn|sweet|prediction threshold=0.378,False,False,False,False,True,True,False,False,False,False
178,PG,0.15,,,,,,,,,rf|rummy|prediction threshold=0.076,False,True,False,False,False,False,False,False,False,True
179,PG,0.5,,,,,,,,,gnn|tropical|prediction threshold=0.400,False,False,False,True,True,False,False,False,False,False
180,PG,0.5,,,,,,,,,gnn|rummy|prediction threshold=0.252,False,False,False,False,True,False,False,False,False,False
181,neat,1.0,,,,,,,,,gnn|green|prediction threshold=0.400,False,False,False,True,False,False,False,False,False,False
182,,1.0,,,,,,,,,rf|not meaty|prediction threshold=0.204,False,True,False,False,False,False,False,False,True,False
183,PG,0.2,,,,,,,,,rf|cucumber|prediction threshold=0.014,False,True,False,False,False,False,False,False,False,False
184,,1.0,,,,,,,,,gnn|woody|prediction threshold=0.753,False,False,False,False,False,True,False,False,False,False
185,,1.0,,,,,,,,Low intensity,gnn|fatty|prediction threshold=0.174,False,True,True,False,False,False,False,False,False,False
186,,1.0,,,,,,,,,rf|woody|prediction threshold=0.192,False,True,False,False,False,False,False,False,False,False
187,PG,0.1,10.0,45.0,10.0,10.0,mixed,CC2(C1CC1)OCC(O2)C,neutral,,gnn|sweet|prediction threshold=0.378,False,False,False,False,False,True,False,False,True,False
188,PG,0.015,,,,,,,,,gnn|vanilla|prediction threshold=0.400,False,False,True,False,False,True,False,False,False,False
189,,1.0,,,,,,,,,rf|woody|prediction threshold=0.192,False,True,False,False,False,False,False,False,True,False
190,,1.0,,,,,,,,,rf|honey|prediction threshold=0.080,False,False,False,False,False,False,True,False,False,False
191,neat,1.0,,,,,,,,,gnn|not sharp|prediction threshold=0.400,False,False,True,True,False,False,False,False,False,False
192,PG,0.2,,,,,,,,,rf|waxy|prediction threshold=0.054,False,True,False,False,False,False,False,True,False,False
193,,1.0,,,,,,,,,gnn|coconut|prediction threshold=0.170,False,False,False,False,False,True,False,False,True,False
194,PG,0.3,10.0,55.0,10.0,10.0,mixed,,neutral,,rf|tomato|prediction threshold=0.048,False,False,False,False,False,False,False,False,True,False
195,,1.0,,,,,,,,,rf|metallic|prediction threshold=0.052,False,True,True,False,False,False,False,False,False,True
196,,1.0,,,,,,,,,rf|caramellic|prediction threshold=0.170,False,False,False,False,False,False,False,False,False,False
197,neat,1.0,,,,,,,,,gnn|floral|prediction threshold=0.400,False,False,False,False,False,False,False,False,False,False
198,PG,0.5,,,,,,,,Suspected garlicky impurity,gnn|nutty|prediction threshold=0.644,False,True,False,False,False,False,False,False,False,False
